gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
72313	Fryl	-2.86645273445776	5.05999110856471	1.12712918704833e-08	9.79011842017073e-07
271564	Vps13a	-3.36794890758306	4.87433985409733	1.12776789521989e-08	9.79011842017073e-07
241263	Gpr158	-2.82936725421294	6.09662384210057	1.12816809704605e-08	9.79011842017073e-07
103963	Rpn1	-2.92567004664917	6.15116985659826	1.14448394273883e-08	9.79011842017073e-07
56077	Dgke	-3.39086946554518	4.85526360712228	1.1451732308765e-08	9.79011842017073e-07
245860	Atg9a	-2.59010311130396	5.98930191748806	1.14765696795466e-08	9.79011842017073e-07
269060	Dagla	-2.66698111145593	6.40398353517643	1.16188350722074e-08	9.79011842017073e-07
207304	Hectd1	-3.29645958783954	6.52282756636476	1.16906685399253e-08	9.79011842017073e-07
29811	Ndrg2	2.38668825184363	7.86730053126464	1.17288875762024e-08	9.79011842017073e-07
11990	Atrn	-2.77655060515701	6.58597597270884	1.17514407542412e-08	9.79011842017073e-07
195018	Zzef1	-3.65448495511797	4.67698840576899	1.19027287714927e-08	9.85850430690027e-07
109620	Dsp	-3.18945963975161	5.01496567511689	1.2085648304336e-08	9.94215436178901e-07
269695	Rnft2	-2.57949960513681	5.76495467373499	1.21433023933124e-08	9.94215436178901e-07
240332	Slc6a7	-3.07053573491164	5.44495486272652	1.23853253060535e-08	1.00780083720664e-06
238161	Akap6	-2.72344079121509	6.57776722441485	1.24507193140789e-08	1.00780083720664e-06
13004	Ncan	-2.57904823224862	6.28355957470507	1.27359588634422e-08	1.02506480208247e-06
268902	Robo2	-2.63649018762509	5.60003558366191	1.29621636261502e-08	1.03278597522486e-06
212996	Wbscr17	-2.59593806424118	6.55484041034909	1.29768840071073e-08	1.03278597522486e-06
18377	Omg	-2.53470142984467	6.03780814042313	1.31117873086406e-08	1.03772512221608e-06
20510	Slc1a1	-2.57302749580615	6.2940470825764	1.34148556969042e-08	1.05108002361827e-06
320528	Vps13c	-3.89441477764455	5.24794080828151	1.34280895899569e-08	1.05108002361827e-06
71927	Itfg1	-2.5885108594381	6.9002622059835	1.37712802099197e-08	1.06021793189086e-06
20394	Scg5	-2.58147935917732	6.84013493852363	1.3771675706556e-08	1.06021793189086e-06
26908	Eif2s3y	9.38085802554735	-1.50808171751452	1.38728214188908e-08	1.06021793189086e-06
67163	Ccdc47	-3.06318808166952	5.56958603087508	1.38871659277831e-08	1.06021793189086e-06
26943	Serinc3	-2.40337938104691	6.87367853674442	1.39911442067085e-08	1.06021793189086e-06
54604	Pcnx	-2.6164375140684	6.07130349627179	1.40151307474741e-08	1.06021793189086e-06
110911	Cds2	-2.34383559222958	7.94768185169897	1.40657861243417e-08	1.06021793189086e-06
114873	Dscaml1	-2.63432979124017	5.65366333220893	1.43714146051172e-08	1.07755353928684e-06
19417	Rasgrf1	-2.71941225019744	8.59149170705341	1.51017426937388e-08	1.12493891892288e-06
12725	Clcn3	-2.47532084854284	6.19800714583003	1.51613275609429e-08	1.12493891892288e-06
94249	Slc24a3	-2.371567019307	6.88353616729602	1.53499881576844e-08	1.13147803863869e-06
229521	Syt11	-2.7722840359087	8.73154847488882	1.54798250338169e-08	1.13147803863869e-06
108071	Grm5	-2.73146769396384	6.61975813371094	1.54877311199316e-08	1.13147803863869e-06
66881	Pcyox1	-2.60940034157009	5.90567165205891	1.57876366537054e-08	1.13856620317286e-06
338366	Mia3	-2.71314227910841	5.00244564057662	1.5823603455757e-08	1.13856620317286e-06
50790	Acsl4	-3.07563660937795	5.59040730246425	1.58855742985274e-08	1.13856620317286e-06
116873	Stim2	-2.37566316377214	6.57719143123939	1.59677771356491e-08	1.13856620317286e-06
11881	Arsb	-2.53857060694385	5.89732071216609	1.59843633746015e-08	1.13856620317286e-06
270162	Elmod1	-2.33647504138174	7.27579080389625	1.63221014998526e-08	1.15683909436269e-06
22083	Ctr9	-2.88343945948684	5.86492728865092	1.66788097635311e-08	1.17510851324607e-06
105298	Epdr1	-2.54751285014103	6.51948484680584	1.67448426357541e-08	1.17510851324607e-06
56807	Scamp5	-2.3050509899775	8.20989466208987	1.69170548104678e-08	1.18137432759766e-06
14862	Gstm1	2.36014453799992	6.77739131615292	1.71440065696859e-08	1.18278751857827e-06
